Year,Scenario,Group,Metric,Value,% Reduction vs S0 (group)
2041,S1 (Net-zero policy),HGV,Emissions (ktCO2e),6998.29275411342,84.39681797265007
2042,S1 (Net-zero policy),HGV,Emissions (ktCO2e),6409.65130750575,86.60343952943887
2043,S1 (Net-zero policy),HGV,Emissions (ktCO2e),5821.009860898081,88.59243261356052
2044,S1 (Net-zero policy),HGV,Emissions (ktCO2e),5232.368414290409,90.38238380057088
2045,S1 (Net-zero policy),HGV,Emissions (ktCO2e),4643.726967682738,91.99089693395636
2046,S1 (Net-zero policy),HGV,Emissions (ktCO2e),4055.0855210750665,93.43448327330115
2047,S1 (Net-zero policy),HGV,Emissions (ktCO2e),3466.444074467395,94.72850560260365
2048,S1 (Net-zero policy),HGV,Emissions (ktCO2e),2877.802627859724,95.88716367021652
2049,S1 (Net-zero policy),HGV,Emissions (ktCO2e),2289.1611812520546,96.92351029934827
2050,S1 (Net-zero policy),HGV,Emissions (ktCO2e),1700.5197346443829,97.84948941158537
2002,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),18268.0,0.0
2003,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),18400.0,0.0
2004,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),18528.0,0.0
2005,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),18420.0,0.0
2006,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),18369.0,0.0
2007,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),18230.0,0.0
2008,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17850.0,0.0
2009,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15875.0,0.0
2010,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16530.0,0.0
2011,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16070.0,0.0
2012,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15574.0,0.0
2013,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15687.3,0.0
2014,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16755.0,0.0
2015,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15888.0,0.0
2016,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17380.0,0.0
2017,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16329.0,0.0
2018,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17772.0,0.0
2019,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17296.0,0.0
2020,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15920.0,0.0
2021,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17296.0,0.0
2022,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17437.0,0.0
2023,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16180.0,0.0
2024,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17005.197346443827,0.0
2025,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17707.806163622015,0.0
2026,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17659.03793937271,4.533333333333333
2027,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17623.3483732138,9.066666666666679
2028,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17593.21206097746,13.600000000000001
2029,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17560.024774515558,18.133333333333333
2030,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17514.103461699684,22.666666666666668
2031,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17444.686246421148,27.200000000000014
2032,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17339.932428590986,31.733333333333334
2033,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17186.922484139934,36.266666666666666
2034,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16971.658065018444,40.800000000000004
2035,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16679.0619991967,45.333333333333336
2036,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16292.978290664589,49.86666666666666
2037,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15796.172119431723,54.400000000000006
2038,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15170.329841527411,58.93333333333334
2039,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),14396.058989000716,63.46666666666667
2040,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),13452.888269920382,68.0
2041,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),14352.54473985423,68.0
2042,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),15310.559922519637,68.0
2043,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),16328.837624940625,68.0
2044,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),17409.28165414124,68.0
2045,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),18553.795817145492,68.0
2046,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),19764.28392097742,68.0
2047,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),21042.64977266106,68.0
2048,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),22390.797179220433,68.0
2049,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),23810.62994767957,68.0
2050,S2 (Fuel switch – HGV→HVO),HGV,Emissions (ktCO2e),25304.051885062505,68.0
2002,S3 (Van electrification),HGV,Emissions (ktCO2e),18268.0,0.0
2003,S3 (Van electrification),HGV,Emissions (ktCO2e),18400.0,0.0
2004,S3 (Van electrification),HGV,Emissions (ktCO2e),18528.0,0.0
2005,S3 (Van electrification),HGV,Emissions (ktCO2e),18420.0,0.0
2006,S3 (Van electrification),HGV,Emissions (ktCO2e),18369.0,0.0
2007,S3 (Van electrification),HGV,Emissions (ktCO2e),18230.0,0.0
2008,S3 (Van electrification),HGV,Emissions (ktCO2e),17850.0,0.0
2009,S3 (Van electrification),HGV,Emissions (ktCO2e),15875.0,0.0
2010,S3 (Van electrification),HGV,Emissions (ktCO2e),16530.0,0.0
2011,S3 (Van electrification),HGV,Emissions (ktCO2e),16070.0,0.0
2012,S3 (Van electrification),HGV,Emissions (ktCO2e),15574.0,0.0
2013,S3 (Van electrification),HGV,Emissions (ktCO2e),15687.3,0.0
2014,S3 (Van electrification),HGV,Emissions (ktCO2e),16755.0,0.0
2015,S3 (Van electrification),HGV,Emissions (ktCO2e),15888.0,0.0
2016,S3 (Van electrification),HGV,Emissions (ktCO2e),17380.0,0.0
2017,S3 (Van electrification),HGV,Emissions (ktCO2e),16329.0,0.0
2018,S3 (Van electrification),HGV,Emissions (ktCO2e),17772.0,0.0
2019,S3 (Van electrification),HGV,Emissions (ktCO2e),17296.0,0.0
2020,S3 (Van electrification),HGV,Emissions (ktCO2e),15920.0,0.0
2021,S3 (Van electrification),HGV,Emissions (ktCO2e),17296.0,0.0
2022,S3 (Van electrification),HGV,Emissions (ktCO2e),17437.0,0.0
2023,S3 (Van electrification),HGV,Emissions (ktCO2e),16180.0,0.0
2024,S3 (Van electrification),HGV,Emissions (ktCO2e),17005.197346443827,0.0
2025,S3 (Van electrification),HGV,Emissions (ktCO2e),17707.806163622015,0.0
2026,S3 (Van electrification),HGV,Emissions (ktCO2e),18497.59560688482,0.0
2027,S3 (Van electrification),HGV,Emissions (ktCO2e),19380.515073182334,0.0
2028,S3 (Van electrification),HGV,Emissions (ktCO2e),20362.513959464653,0.0
2029,S3 (Van electrification),HGV,Emissions (ktCO2e),21449.54166268187,0.0
2030,S3 (Van electrification),HGV,Emissions (ktCO2e),22647.547579784074,0.0
2031,S3 (Van electrification),HGV,Emissions (ktCO2e),23962.48110772136,0.0
2032,S3 (Van electrification),HGV,Emissions (ktCO2e),25400.291643443827,0.0
2033,S3 (Van electrification),HGV,Emissions (ktCO2e),26966.92858390157,0.0
2034,S3 (Van electrification),HGV,Emissions (ktCO2e),28668.341326044672,0.0
2035,S3 (Van electrification),HGV,Emissions (ktCO2e),30510.479266823233,0.0
2036,S3 (Van electrification),HGV,Emissions (ktCO2e),32499.29180318734,0.0
2037,S3 (Van electrification),HGV,Emissions (ktCO2e),34640.728332087114,0.0
2038,S3 (Van electrification),HGV,Emissions (ktCO2e),36940.7382504726,0.0
2039,S3 (Van electrification),HGV,Emissions (ktCO2e),39405.270955293934,0.0
2040,S3 (Van electrification),HGV,Emissions (ktCO2e),42040.2758435012,0.0
2041,S3 (Van electrification),HGV,Emissions (ktCO2e),44851.70231204447,0.0
2042,S3 (Van electrification),HGV,Emissions (ktCO2e),47845.49975787387,0.0
2043,S3 (Van electrification),HGV,Emissions (ktCO2e),51027.61757793946,0.0
2044,S3 (Van electrification),HGV,Emissions (ktCO2e),54404.005169191376,0.0
2045,S3 (Van electrification),HGV,Emissions (ktCO2e),57980.611928579674,0.0
2046,S3 (Van electrification),HGV,Emissions (ktCO2e),61763.38725305445,0.0
2047,S3 (Van electrification),HGV,Emissions (ktCO2e),65758.28053956582,0.0
2048,S3 (Van electrification),HGV,Emissions (ktCO2e),69971.24118506386,0.0
2049,S3 (Van electrification),HGV,Emissions (ktCO2e),74408.21858649867,0.0
2050,S3 (Van electrification),HGV,Emissions (ktCO2e),79075.16214082034,0.0
2002,S4 (Combined high-impact),HGV,Emissions (ktCO2e),18268.0,0.0
2003,S4 (Combined high-impact),HGV,Emissions (ktCO2e),18400.0,0.0
2004,S4 (Combined high-impact),HGV,Emissions (ktCO2e),18528.0,0.0
2005,S4 (Combined high-impact),HGV,Emissions (ktCO2e),18420.0,0.0
2006,S4 (Combined high-impact),HGV,Emissions (ktCO2e),18369.0,0.0
2007,S4 (Combined high-impact),HGV,Emissions (ktCO2e),18230.0,0.0
2008,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17850.0,0.0
2009,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15875.0,0.0
2010,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16530.0,0.0
2011,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16070.0,0.0
2012,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15574.0,0.0
2013,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15687.3,0.0
2014,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16755.0,0.0
2015,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15888.0,0.0
2016,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17380.0,0.0
2017,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16329.0,0.0
2018,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17772.0,0.0
2019,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17296.0,0.0
2020,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15920.0,0.0
2021,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17296.0,0.0
2022,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17437.0,0.0
2023,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16180.0,0.0
2024,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17005.197346443827,0.0
2025,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17707.806163622015,0.0
2026,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17659.03793937271,4.533333333333333
2027,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17623.3483732138,9.066666666666679
2028,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17593.21206097746,13.600000000000001
2029,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17560.024774515558,18.133333333333333
2030,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17514.103461699684,22.666666666666668
2031,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17444.686246421148,27.200000000000014
2032,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17339.932428590986,31.733333333333334
2033,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17186.922484139934,36.266666666666666
2034,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16971.658065018444,40.800000000000004
2035,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16679.0619991967,45.333333333333336
2036,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16292.978290664589,49.86666666666666
2037,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15796.172119431723,54.400000000000006
2038,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15170.329841527411,58.93333333333334
2039,S4 (Combined high-impact),HGV,Emissions (ktCO2e),14396.058989000716,63.46666666666667
2040,S4 (Combined high-impact),HGV,Emissions (ktCO2e),13452.888269920382,68.0
2041,S4 (Combined high-impact),HGV,Emissions (ktCO2e),14352.54473985423,68.0
2042,S4 (Combined high-impact),HGV,Emissions (ktCO2e),15310.559922519637,68.0
2043,S4 (Combined high-impact),HGV,Emissions (ktCO2e),16328.837624940625,68.0
2044,S4 (Combined high-impact),HGV,Emissions (ktCO2e),17409.28165414124,68.0
2045,S4 (Combined high-impact),HGV,Emissions (ktCO2e),18553.795817145492,68.0
2046,S4 (Combined high-impact),HGV,Emissions (ktCO2e),19764.28392097742,68.0
2047,S4 (Combined high-impact),HGV,Emissions (ktCO2e),21042.64977266106,68.0
2048,S4 (Combined high-impact),HGV,Emissions (ktCO2e),22390.797179220433,68.0
2049,S4 (Combined high-impact),HGV,Emissions (ktCO2e),23810.62994767957,68.0
2050,S4 (Combined high-impact),HGV,Emissions (ktCO2e),25304.051885062505,68.0
2002,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2003,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2004,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2005,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2006,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2007,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2008,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2009,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2010,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2011,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2012,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2013,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.38,0.0
2014,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2015,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2016,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.32,0.0
2017,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2018,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2019,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2020,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2021,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2022,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2023,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2024,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2686319987068881,0.0
2025,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2672639974137763,0.0
2026,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2658959961206642,0.0
2027,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2645279948275523,0.0
2028,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2631599935344404,0.0
2029,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2617919922413285,0.0
2030,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2604239909482167,0.0
2031,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2590559896551046,0.0
2032,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2576879883619927,0.0
2033,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.256319987068881,0.0
2034,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2549519857757692,0.0
2035,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2535839844826573,0.0
2036,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2522159831895452,0.0
2037,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2508479818964333,0.0
2038,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2494799806033214,0.0
2039,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2481119793102096,0.0
2040,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2467439780170975,0.0
2041,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2453759767239856,0.0
2042,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2440079754308737,0.0
2043,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2426399741377618,0.0
2044,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.24127197284465,0.0
2045,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2399039715515379,0.0
2046,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.238535970258426,0.0
2047,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2371679689653141,0.0
2048,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2357999676722022,0.0
2049,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2344319663790901,0.0
2050,S0 (baseline),HGV,Energy Intensity (MJ/t·km),1.2330639650859783,0.0
2002,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2003,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2004,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2005,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2006,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2007,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2008,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2009,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2010,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2011,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2012,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2013,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.38,0.0
2014,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.34,0.0
2015,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.33,0.0
2016,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.32,0.0
2017,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2018,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.31,0.0
2019,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.3,0.0
2020,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.29,0.0
2021,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2022,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.28,0.0
2023,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.27,0.0
2024,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2686319987068881,0.0
2025,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2672639974137763,0.0
2026,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2658959961206642,0.0
2027,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2645279948275523,0.0
2028,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2631599935344404,0.0
2029,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2617919922413285,0.0
2030,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2604239909482167,0.0
2031,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2590559896551046,0.0
2032,S1 (Net-zero policy),HGV,Energy Intensity (MJ/t·km),1.2576879883619927,0.0
